Patent ID,Title,Publication Date,Result Link
US-10769552-B2,Justifying passage machine learning for question and answer systems ,2020-09-08,https://patents.google.com/patent/US10769552B2/en
US-10884718-B2,Device for use in improving a user interaction with a user interface application ,2021-01-05,https://patents.google.com/patent/US10884718B2/en
US-10290370-B2,Systems and methods for extracting specified data from narrative text ,2019-05-14,https://patents.google.com/patent/US10290370B2/en
US-10438112-B2,Method and apparatus of learning neural network via hierarchical ensemble learning ,2019-10-08,https://patents.google.com/patent/US10438112B2/en
US-11087865-B2,System and method for use of treatment device to reduce pain medication dependency ,2021-08-10,https://patents.google.com/patent/US11087865B2/en
US-11657044-B2,Semantic parsing engine ,2023-05-23,https://patents.google.com/patent/US11657044B2/en
US-11636936-B2,Method and apparatus for verifying medical fact ,2023-04-25,https://patents.google.com/patent/US11636936B2/en
US-10176541-B2,Medical information navigation engine (MINE) system ,2019-01-08,https://patents.google.com/patent/US10176541B2/en
US-11699040-B2,Predictive natural language processing using semantic feature extraction ,2023-07-11,https://patents.google.com/patent/US11699040B2/en
US-10755197-B2,"Rule-based feature engineering, model creation and hosting ",2020-08-25,https://patents.google.com/patent/US10755197B2/en
US-11868721-B2,Intelligent knowledge management-driven decision making model ,2024-01-09,https://patents.google.com/patent/US11868721B2/en
US-11355249-B2,Pet evaluation and triage system ,2022-06-07,https://patents.google.com/patent/US11355249B2/en
US-11336539-B2,"Support ticket summarizer, similarity classifier, and resolution forecaster ",2022-05-17,https://patents.google.com/patent/US11336539B2/en
US-10235633-B2,Method and system for linking heterogeneous data sources ,2019-03-19,https://patents.google.com/patent/US10235633B2/en
US-10430946-B1,Medical image segmentation and severity grading using neural network architectures with semi-supervised learning techniques ,2019-10-01,https://patents.google.com/patent/US10430946B1/en
US-11373739-B2,Systems and methods for interrogating clinical documents for characteristic data ,2022-06-28,https://patents.google.com/patent/US11373739B2/en
US-11978559-B2,Systems and methods for remotely-enabled identification of a user infection ,2024-05-07,https://patents.google.com/patent/US11978559B2/en
US-11120899-B1,Extracting clinical entities from clinical documents ,2021-09-14,https://patents.google.com/patent/US11120899B1/en
US-10482174-B1,Systems and methods for identifying form fields ,2019-11-19,https://patents.google.com/patent/US10482174B1/en
US-11620813-B2,Electronic-device interaction via a remote user interface ,2023-04-04,https://patents.google.com/patent/US11620813B2/en
US-11514339-B2,Machine-learning based recommendation engine providing transparency in generation of recommendations ,2022-11-29,https://patents.google.com/patent/US11514339B2/en
US-11217334-B2,System and method for selecting optimal medications for a specific patient ,2022-01-04,https://patents.google.com/patent/US11217334B2/en
US-10796080-B2,Artificial intelligence based document processor ,2020-10-06,https://patents.google.com/patent/US10796080B2/en
US-11776421-B2,Systems and methods for monitoring and evaluating body movement ,2023-10-03,https://patents.google.com/patent/US11776421B2/en
US-8838628-B2,Intelligent search tool for answering clinical queries ,2014-09-16,https://patents.google.com/patent/US8838628B2/en
US-11151182-B2,Classification model training method and apparatus ,2021-10-19,https://patents.google.com/patent/US11151182B2/en
US-11682481-B2,Data-based mental disorder research and treatment systems and methods ,2023-06-20,https://patents.google.com/patent/US11682481B2/en
US-10699215-B2,Self-training of question answering system using question profiles ,2020-06-30,https://patents.google.com/patent/US10699215B2/en
US-12087282-B2,Cross-class ontology integration for language modeling ,2024-09-10,https://patents.google.com/patent/US12087282B2/en
US-11182550-B2,Cognitive building of medical condition base cartridges based on gradings of positional statements ,2021-11-23,https://patents.google.com/patent/US11182550B2/en
US-11244746-B2,Automatically associating user input with sections of an electronic report using machine learning ,2022-02-08,https://patents.google.com/patent/US11244746B2/en
US-11404147-B2,Treatment recommendations based on drug-to-drug interactions ,2022-08-02,https://patents.google.com/patent/US11404147B2/en
US-12087446-B2,Multimodal dynamic attention fusion ,2024-09-10,https://patents.google.com/patent/US12087446B2/en
US-11417231-B2,Methods and systems for virtual problem based learning ,2022-08-16,https://patents.google.com/patent/US11417231B2/en
US-11881306-B2,System and method of utilizing data of medical systems ,2024-01-23,https://patents.google.com/patent/US11881306B2/en
US-11424012-B1,Sectionalizing clinical documents ,2022-08-23,https://patents.google.com/patent/US11424012B1/en
US-9858261-B2,Relation extraction using manifold models ,2018-01-02,https://patents.google.com/patent/US9858261B2/en
US-11862305-B1,Systems and methods for analyzing patient health records ,2024-01-02,https://patents.google.com/patent/US11862305B1/en
US-12002580-B2,System and method for customized patient resources and behavior phenotyping ,2024-06-04,https://patents.google.com/patent/US12002580B2/en
US-11823798-B2,Container-based knowledge graphs for determining entity relations in non-narrative text ,2023-11-21,https://patents.google.com/patent/US11823798B2/en
US-11049239-B2,Deep neural network based identification of realistic synthetic images generated using a generative adversarial network ,2021-06-29,https://patents.google.com/patent/US11049239B2/en
US-11049250-B2,Systems and methods to deliver point of care alerts for radiological findings ,2021-06-29,https://patents.google.com/patent/US11049250B2/en
US-11562323-B2,Application of bayesian networks to patient screening and treatment ,2023-01-24,https://patents.google.com/patent/US11562323B2/en
US-10162850-B1,Clause discovery for validation of documents ,2018-12-25,https://patents.google.com/patent/US10162850B1/en
US-10978189-B2,"Digital representations of past, current, and future health using vectors ",2021-04-13,https://patents.google.com/patent/US10978189B2/en
US-11887738-B2,Platforms for conducting virtual trials ,2024-01-30,https://patents.google.com/patent/US11887738B2/en
US-11355240-B2,Determination of health sciences recommendations ,2022-06-07,https://patents.google.com/patent/US11355240B2/en
US-11164678-B2,Finding precise causal multi-drug-drug interactions for adverse drug reaction analysis ,2021-11-02,https://patents.google.com/patent/US11164678B2/en
US-9690861-B2,Deep semantic search of electronic medical records ,2017-06-27,https://patents.google.com/patent/US9690861B2/en
US-11507629-B2,Dataset networking and database modeling ,2022-11-22,https://patents.google.com/patent/US11507629B2/en
US-10758188-B2,Stroke detection and prevention system and method ,2020-09-01,https://patents.google.com/patent/US10758188B2/en
US-11875794-B2,Semantically augmented clinical speech processing ,2024-01-16,https://patents.google.com/patent/US11875794B2/en
US-11942221-B2,Disambiguation of ambiguous portions of content for processing by automated systems ,2024-03-26,https://patents.google.com/patent/US11942221B2/en
US-11182411-B2,Combined data driven and knowledge driven analytics ,2021-11-23,https://patents.google.com/patent/US11182411B2/en
US-11580335-B2,Transaction management of machine learning algorithm updates ,2023-02-14,https://patents.google.com/patent/US11580335B2/en
US-9092802-B1,Statistical machine learning and business process models systems and methods ,2015-07-28,https://patents.google.com/patent/US9092802B1/en
US-11977985-B2,Machine learning techniques for predictive prioritization ,2024-05-07,https://patents.google.com/patent/US11977985B2/en
US-11282604-B2,Method and system for use of telemedicine-enabled rehabilitative equipment for prediction of secondary disease ,2022-03-22,https://patents.google.com/patent/US11282604B2/en
US-11341646-B2,Systems and methods to deliver point of care alerts for radiological findings ,2022-05-24,https://patents.google.com/patent/US11341646B2/en
US-10847265-B2,Systems and methods for responding to healthcare inquiries ,2020-11-24,https://patents.google.com/patent/US10847265B2/en
US-11037657-B2,Personalized questionnaire for health risk assessment ,2021-06-15,https://patents.google.com/patent/US11037657B2/en
US-10814170-B2,Techniques for providing customized exercise-related recommendations ,2020-10-27,https://patents.google.com/patent/US10814170B2/en
US-11139060-B2,Method and system for creating an immersive enhanced reality-driven exercise experience for a user ,2021-10-05,https://patents.google.com/patent/US11139060B2/en
US-10338913-B2,Active adaptation of networked compute devices using vetted reusable software components ,2019-07-02,https://patents.google.com/patent/US10338913B2/en
US-11495332-B2,Automated prediction and answering of medical professional questions directed to patient based on EMR ,2022-11-08,https://patents.google.com/patent/US11495332B2/en
US-10957433-B2,"Clinical concept identification, extraction, and prediction system and related methods ",2021-03-23,https://patents.google.com/patent/US10957433B2/en
US-11544259-B2,CRF-based span prediction for fine machine learning comprehension ,2023-01-03,https://patents.google.com/patent/US11544259B2/en
US-10463297-B2,Personalized event detection methods and related devices and systems ,2019-11-05,https://patents.google.com/patent/US10463297B2/en
US-11816421-B2,"Summary creation method, summary creation system, and summary creation program ",2023-11-14,https://patents.google.com/patent/US11816421B2/en
US-12039177-B2,Configurable machine learning systems through graphical user interfaces ,2024-07-16,https://patents.google.com/patent/US12039177B2/en
US-11574011-B2,Merging feature subsets using graphical representation ,2023-02-07,https://patents.google.com/patent/US11574011B2/en
US-10799189-B2,Systems and methods to deliver point of care alerts for radiological findings ,2020-10-13,https://patents.google.com/patent/US10799189B2/en
US-10818397-B2,Clinical content analytics engine ,2020-10-27,https://patents.google.com/patent/US10818397B2/en
US-11468323-B2,Using a neural network ,2022-10-11,https://patents.google.com/patent/US11468323B2/en
US-11574739-B2,Systems and methods for formulating personalized skincare products ,2023-02-07,https://patents.google.com/patent/US11574739B2/en
US-10818394-B2,Cognitive building of medical condition base cartridges for a medical system ,2020-10-27,https://patents.google.com/patent/US10818394B2/en
US-11157816-B2,Systems and methods for selecting and generating log parsers using neural networks ,2021-10-26,https://patents.google.com/patent/US11157816B2/en
US-11631266-B2,Automated document intake and processing system ,2023-04-18,https://patents.google.com/patent/US11631266B2/en
US-11031111-B1,Systems and methods for optimizing clinical workflow using a prioritization engine ,2021-06-08,https://patents.google.com/patent/US11031111B1/en
US-10395178-B2,Risk assessment system and data processing method ,2019-08-27,https://patents.google.com/patent/US10395178B2/en
US-11532387-B2,Identifying information in plain text narratives EMRs ,2022-12-20,https://patents.google.com/patent/US11532387B2/en
US-10928472-B2,System and method for brain state classification ,2021-02-23,https://patents.google.com/patent/US10928472B2/en
US-10346751-B2,Extraction of inference rules from heterogeneous graphs ,2019-07-09,https://patents.google.com/patent/US10346751B2/en
US-10614196-B2,System for automated analysis of clinical text for pharmacovigilance ,2020-04-07,https://patents.google.com/patent/US10614196B2/en
US-11972336-B2,Machine learning platform and system for data analysis ,2024-04-30,https://patents.google.com/patent/US11972336B2/en
US-8805756-B2,Enhanced DeepQA in a medical environment ,2014-08-12,https://patents.google.com/patent/US8805756B2/en
US-11056227-B2,System and method for generating textual descriptions from medical images ,2021-07-06,https://patents.google.com/patent/US11056227B2/en
US-11645527-B2,Neural network-based confidence assessment module for healthcare coding applications ,2023-05-09,https://patents.google.com/patent/US11645527B2/en
US-10331659-B2,Automatic detection and cleansing of erroneous concepts in an aggregated knowledge base ,2019-06-25,https://patents.google.com/patent/US10331659B2/en
US-11281680-B2,Scoring candidate evidence passages for criteria validation using historical evidence data ,2022-03-22,https://patents.google.com/patent/US11281680B2/en
US-11249960-B2,Transforming data for a target schema ,2022-02-15,https://patents.google.com/patent/US11249960B2/en
US-10762992-B2,Synthetic ground truth expansion ,2020-09-01,https://patents.google.com/patent/US10762992B2/en
US-10839961-B2,Identifying drug-to-drug interactions in medical content and applying interactions to treatment recommendations ,2020-11-17,https://patents.google.com/patent/US10839961B2/en
US-10642928-B2,Annotation collision detection in a question and answer system ,2020-05-05,https://patents.google.com/patent/US10642928B2/en
US-11923051-B2,System and method for creating digital therapeutics directed to patient care specific to a disease ,2024-03-05,https://patents.google.com/patent/US11923051B2/en
US-10810491-B1,Real-time visualization of machine learning models ,2020-10-20,https://patents.google.com/patent/US10810491B1/en
US-11393597-B1,Prescription label scanner ,2022-07-19,https://patents.google.com/patent/US11393597B1/en
US-11593589-B2,System and method for interpretable sequence and time-series data modeling ,2023-02-28,https://patents.google.com/patent/US11593589B2/en
US-8700589-B2,System for linking medical terms for a medical knowledge base ,2014-04-15,https://patents.google.com/patent/US8700589B2/en
US-9336195-B2,Method and system for dictionary noise removal ,2016-05-10,https://patents.google.com/patent/US9336195B2/en
US-9986165-B2,Remote analyte testing system ,2018-05-29,https://patents.google.com/patent/US9986165B2/en
US-10839950-B2,Platform and system for digital personalized medicine ,2020-11-17,https://patents.google.com/patent/US10839950B2/en
US-7672987-B2,System and method for integration of medical information ,2010-03-02,https://patents.google.com/patent/US7672987B2/en
US-11862164-B2,Natural language understanding of conversational sources ,2024-01-02,https://patents.google.com/patent/US11862164B2/en
US-11120904-B2,Imaging modality maintenance smart dispatch systems and methods ,2021-09-14,https://patents.google.com/patent/US11120904B2/en
US-11521372-B2,"Utilizing machine learning models, position based extraction, and automated data labeling to process image-based documents ",2022-12-06,https://patents.google.com/patent/US11521372B2/en
US-10706964-B2,Constrained optimization for provider groups ,2020-07-07,https://patents.google.com/patent/US10706964B2/en
US-11264140-B1,System and method for automated pharmaceutical research utilizing context workspaces ,2022-03-01,https://patents.google.com/patent/US11264140B1/en
US-11875883-B1,De-duplication and contextually-intelligent recommendations based on natural language understanding of conversational sources ,2024-01-16,https://patents.google.com/patent/US11875883B1/en
US-11308612-B2,Systems and methods for detection of infectious respiratory diseases ,2022-04-19,https://patents.google.com/patent/US11308612B2/en
US-11080335-B2,Concept-based autosuggest based on previously identified items ,2021-08-03,https://patents.google.com/patent/US11080335B2/en
US-11562143-B2,Artificial intelligence (AI) based document processor ,2023-01-24,https://patents.google.com/patent/US11562143B2/en
US-9192299-B2,"Health check path evaluation indicator building system, method thereof, device therewith, and computer program product therein ",2015-11-24,https://patents.google.com/patent/US9192299B2/en
US-12001896-B2,Unsupervised event extraction ,2024-06-04,https://patents.google.com/patent/US12001896B2/en
US-11521064-B2,Training a neural network model ,2022-12-06,https://patents.google.com/patent/US11521064B2/en
US-12073936-B2,Methods and systems for improved therapy delivery and monitoring ,2024-08-27,https://patents.google.com/patent/US12073936B2/en
US-10133718-B2,"Systems and methods for locating, identifying and mapping electronic form fields ",2018-11-20,https://patents.google.com/patent/US10133718B2/en
US-10558746-B2,Automated cognitive processing of source agnostic data ,2020-02-11,https://patents.google.com/patent/US10558746B2/en
US-10936821-B2,Testing and training a question-answering system ,2021-03-02,https://patents.google.com/patent/US10936821B2/en
US-10296680-B2,Comparison and selection of experiment designs ,2019-05-21,https://patents.google.com/patent/US10296680B2/en
US-10861604-B2,Systems and methods for automated medical diagnostics ,2020-12-08,https://patents.google.com/patent/US10861604B2/en
US-11950861-B2,Telemedicine for orthopedic treatment ,2024-04-09,https://patents.google.com/patent/US11950861B2/en
US-11475358-B2,Annotation pipeline for machine learning algorithm training and optimization ,2022-10-18,https://patents.google.com/patent/US11475358B2/en
US-10937551-B2,Medical concept sorting based on machine learning of attribute value differentiation ,2021-03-02,https://patents.google.com/patent/US10937551B2/en
US-11087187-B2,System and method for improving recognition of characters ,2021-08-10,https://patents.google.com/patent/US11087187B2/en
US-11003796-B2,Artificial intelligence based document processor ,2021-05-11,https://patents.google.com/patent/US11003796B2/en
US-11610137-B1,Cognitive computing using a plurality of model structures ,2023-03-21,https://patents.google.com/patent/US11610137B1/en
US-11443164-B2,Explanation and interpretation generation system ,2022-09-13,https://patents.google.com/patent/US11443164B2/en
US-10541054-B2,Structured support of clinical healthcare professionals ,2020-01-21,https://patents.google.com/patent/US10541054B2/en
US-11738465-B2,Robot and controlling method thereof ,2023-08-29,https://patents.google.com/patent/US11738465B2/en
US-10304000-B2,Systems and methods for model-assisted cohort selection ,2019-05-28,https://patents.google.com/patent/US10304000B2/en
US-11263185-B2,Methods and systems for automating clinical data mapping and transformation ,2022-03-01,https://patents.google.com/patent/US11263185B2/en
US-11250331-B2,Distant supervision for entity linking with filtering of noise ,2022-02-15,https://patents.google.com/patent/US11250331B2/en
US-10692589-B2,"“Indima apparatus” system, method and computer program product for individualized and collaborative health care ",2020-06-23,https://patents.google.com/patent/US10692589B2/en
US-11128737-B1,Data model monitoring system ,2021-09-21,https://patents.google.com/patent/US11128737B1/en
US-9740665-B2,Systems and methods for processing patient information ,2017-08-22,https://patents.google.com/patent/US9740665B2/en
US-11322233-B2,Contrast parameter learning system ,2022-05-03,https://patents.google.com/patent/US11322233B2/en
US-11222624-B2,Server for providing voice recognition service ,2022-01-11,https://patents.google.com/patent/US11222624B2/en
US-12020814-B1,User interface for clinical decision support ,2024-06-25,https://patents.google.com/patent/US12020814B1/en
US-11847578-B2,Chatbot for defining a machine learning (ML) solution ,2023-12-19,https://patents.google.com/patent/US11847578B2/en
US-9257052-B2,Evaluating candidate answers to questions in a target knowledge domain ,2016-02-09,https://patents.google.com/patent/US9257052B2/en
US-11538560-B2,Imaging related clinical context apparatus and associated methods ,2022-12-27,https://patents.google.com/patent/US11538560B2/en
US-11101039-B2,Machine-learning-based forecasting of the progression of Alzheimer's disease ,2021-08-24,https://patents.google.com/patent/US11101039B2/en
US-10460128-B2,Collection flow for confidential data ,2019-10-29,https://patents.google.com/patent/US10460128B2/en
US-11302450-B2,Computer-implemented system and method for guided assessments on medication effects ,2022-04-12,https://patents.google.com/patent/US11302450B2/en
US-10971254-B2,Medical condition independent engine for medical treatment recommendation system ,2021-04-06,https://patents.google.com/patent/US10971254B2/en
US-11998671-B2,Intelligent adjustment of medical device operations ,2024-06-04,https://patents.google.com/patent/US11998671B2/en
US-11176462-B1,System and method for prediction of protein-ligand interactions and their bioactivity ,2021-11-16,https://patents.google.com/patent/US11176462B1/en
US-11862345-B2,Medical treatment metric modelling based on machine learning ,2024-01-02,https://patents.google.com/patent/US11862345B2/en
US-11710049-B2,System and method for the contextualization of molecules ,2023-07-25,https://patents.google.com/patent/US11710049B2/en
US-10949338-B1,Automated software bug discovery and assessment ,2021-03-16,https://patents.google.com/patent/US10949338B1/en
US-11636550-B2,Using machine learning to classify insurance card information ,2023-04-25,https://patents.google.com/patent/US11636550B2/en
US-11276496-B2,Method and systems for a healthcare provider assistance system ,2022-03-15,https://patents.google.com/patent/US11276496B2/en
US-11621070-B2,Systems and methods for virtually integrated care delivery ,2023-04-04,https://patents.google.com/patent/US11621070B2/en
US-11813121-B2,Systems and methods for generating an instrument positioning map for positioning one or more instruments on a patient body ,2023-11-14,https://patents.google.com/patent/US11813121B2/en
US-10304564-B1,Methods and systems for displaying an image ,2019-05-28,https://patents.google.com/patent/US10304564B1/en
US-11645548-B1,Automated cloud data and technology solution delivery using machine learning and artificial intelligence modeling ,2023-05-09,https://patents.google.com/patent/US11645548B1/en
US-11615493-B2,Contextual comparison of semantics in conditions of different policies ,2023-03-28,https://patents.google.com/patent/US11615493B2/en
US-11881304-B2,Medical information processing apparatus and medical information processing system ,2024-01-23,https://patents.google.com/patent/US11881304B2/en
US-11437125-B2,Artificial-intelligence-based facilitation of healthcare delivery ,2022-09-06,https://patents.google.com/patent/US11437125B2/en
